,F_INFO_FULLNAME,code
52,华夏成长证券投资基金,000001.OF
145,华夏大盘精选证券投资基金,000011.OF
314,华夏优势增长混合型证券投资基金,000021.OF
1660,景顺长城品质投资混合型证券投资基金,000020.OF
1672,农银汇理低估值高增长混合型证券投资基金,000039.OF
1676,财通可持续发展主题混合型证券投资基金,000017.OF
1701,富国宏观策略灵活配置混合型证券投资基金,000029.OF
1704,长城核心优选灵活配置混合型证券投资基金,000030.OF
1708,招商安润灵活配置混合型证券投资基金,000126.OF
1727,中银消费主题混合型证券投资基金,000057.OF
1739,诺安鸿鑫混合型证券投资基金,000066.OF
1741,汇添富消费行业混合型证券投资基金,000083.OF
1763,上投摩根成长动力混合型证券投资基金,000073.OF
1780,嘉实研究阿尔法股票型证券投资基金,000082.OF
1781,广发轮动配置混合型证券投资基金,000117.OF
1797,民生加银策略精选灵活配置混合型证券投资基金,000136.OF
1798,中银美丽中国混合型证券投资基金,000120.OF
1801,建信消费升级混合型证券投资基金,000056.OF
1817,汇添富美丽30混合型证券投资基金,000173.OF
1820,农银汇理行业领先混合型证券投资基金,000127.OF
1833,博时内需增长灵活配置混合型证券投资基金,000264.OF
1834,信诚新兴产业混合型证券投资基金,000209.OF
1875,华泰柏瑞量化增强混合型证券投资基金,000172.OF
1877,景顺长城策略精选灵活配置混合型证券投资基金,000242.OF
1880,富国医疗保健行业混合型证券投资基金,000220.OF
1925,工银瑞信金融地产行业混合型证券投资基金,000251.OF
1957,广发聚优灵活配置混合型证券投资基金,000167.OF
2042,工银瑞信信息产业混合型证券投资基金,000263.OF
2084,华安生态优先混合型证券投资基金,000294.OF
2777,国泰量化策略收益混合型证券投资基金,000199.OF